Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Construction Supplies,97,457.42120000000006,0.0070585762018412525,166.63899999999998,0.0029750958311005257,128.744,168.57999999999996,131.97,169.25499999999997,133.32099999999997,0.04562417981590228
Diversified,15,27.327400000000004,0.001771518953328773,7.477,0.0008330307557361528,10.147,10.147,9.355,9.513,8.984,-0.03605661474391797
Drugs (Biotechnology),8,474.696,0.15319020400576233,192.959,0.11055503544815243,179.7,163.10399999999998,67.36,65.85300000000001,62.757,0.25187386538597734
Drugs (Pharmaceutical),167,5081.748999999997,0.13245020215968129,1736.3999999999994,0.042349441868549845,1542.9259999999995,1714.1479999999997,1792.212,1828.1729999999995,1702.2319999999997,0.003982644405730262
Electrical Equipment,111,373.0372000000001,0.02619241065162888,129.319,0.006279312811009137,117.66999999999999,130.66299999999998,117.847,120.22800000000002,27.450000000000003,0.36340222299363645
Electronics (Consumer & Office),7,3.3032000000000004,0.00938134579938257,1.3960000000000001,0.0007781407119207145,0.488,1.4120000000000001,1.109,1.1300000000000001,0.453,0.2524414815497671
Electronics (General),35,25.131,0.022780839443494683,9.624000000000002,0.004474212607851352,5.808000000000001,9.994000000000002,7.911999999999999,8.497,5.862,0.1042361481344154
Engineering/Construction,155,1425.2450000000003,0.030804743263201068,499.335,0.008990907054293744,486.78200000000004,505.088,386.919,393.32,402.23900000000003,0.044194896776258874
Entertainment,65,1.0670000000000002,0.00037154384946610526,0.266,0.00012568476936844825,0,0.269,1.06,1.0779999999999998,0.738,-0.18461061200868933
Farming/Agriculture,59,84.367,0.020840883080143542,30.278,0.005601350628861588,23.894000000000002,30.604999999999993,27.522000000000002,28.009999999999998,21.514,0.07073304001392655
Financial Svcs. (Non-bank & Insurance),274,67.93780000000001,0.00012885551997865734,23.225999999999996,0.0004878716957515649,19.658,22.650000000000002,29.432000000000006,18.113,14.811,0.09415288030718028
Food Processing,192,75.81400000000001,0.004456050722031392,25.41,0.0006326903877672487,23.665000000000003,25.611,26.775000000000006,26.97700000000001,25.237,0.0013672589829298865
Furn/Home Furnishings,43,96.69759999999997,0.036227827622196014,32.111000000000004,0.005252520427922322,31.39,32.559,33.178,33.339999999999996,28.101,0.027037759979080755
Green & Renewable Energy,16,0.1598,9.532138928553694e-06,0.021,7.955410304074724e-06,0.015,0.022,0.188,0.192,0.19,-0.3562857270583909
Healthcare Products,11,6.8144,0.03123120921023685,2.404,0.010564943198048736,2.2139999999999995,2.258,2.1039999999999996,2.214,2.413,-0.0007470747945484968
Healthcare Support Services,37,3.3668000000000005,0.005155597743839454,1.174,0.001210342968309427,1.043,1.073,1.1829999999999998,1.2069999999999999,1.2269999999999999,-0.008792209333016165
Heathcare Information and Technology,14,78.122,0.03230405725594561,28.091,0.014855708032532264,24.864,27.448,23.472,21.410999999999998,18.849,0.08306813110774658
Hospitals/Healthcare Facilities,32,11.1784,0.002576203625730509,4.223,0.0007120437916205445,4.215,4.319,1.6430000000000002,1.674,1.681,0.20229398287186862
Hotel/Gaming,60,21.98,0.003948666071457656,6.861000000000001,0.0016980550698489421,6.86,6.861000000000001,9.19,9.192,9.195,-0.056879603768081655
Household Products,37,36.8824,0.005094664070201022,12.302000000000001,0.0008890852749280484,12.434,12.373,11.963000000000001,12.120999999999999,9.612,0.050587894052875226
Investments & Asset Management,102,15.312,0.0005759861200618483,5.78,0.0010990057800478734,5.14,4.696,4.446,4.12,3.917,0.08092323761103226
Machinery,161,138.93319999999997,0.017144565537495743,48.80000000000001,0.003715516881694593,44.213,49.53899999999999,41.508,42.181000000000004,39.05,0.045585993222422294
Metals & Mining,42,9.8324,0.0002887102584782506,4.251,8.380464492616598e-05,0,4.31,4.963,5.050999999999999,1.01,0.3330116538142729
Office Equipment & Services,17,2.0026,0.007437802850728232,0.713,0.0014086816675787863,0.597,0.725,0.625,0.635,0.654,0.01742488629995198
Oil/Gas (Integrated),1,195.26,0.003843095575499921,65.3,0.0009172533529613376,66.1,66.1,62,63.1,65,0.0009213774850342915
Oilfield Svcs/Equip.,23,169.1646,0.0008529640405362909,67.71600000000001,0.00020878636386399268,25.6,68.507,66.103,67.116,28.283,0.1907844769606839
Packaging & Container,86,18.453799999999998,0.003934021813980591,6.246,0.0010201241788049358,4.584,6.32,7.858,8.027,6.072,0.005666638754084241
Paper/Forest Products,49,7.7312,0.0015721447254621109,1.694,0.00029609033167186,3.192,3.1430000000000002,3.1410000000000005,1.707,3.1879999999999997,-0.11879080805411324
Power,32,72.8636,0.0005172397732540743,34.382,0.0004309120152161497,1.51,34.755,27.214000000000002,27.675,1.282,0.9305836424657612
Publishing & Newspapers,22,2.724,0.0018225104744736863,1.068,0.0008410892578411098,1.078,1.071,0.254,0.247,0.267,0.3195079107728942
Real Estate (Development),150,0.7718000000000002,4.670664403683142e-05,0.278,4.627209992110441e-05,0,0.29700000000000004,0.523,0.532,0.017,0.7487155620817618
Retail (Building Supply),4,0.048799999999999996,0.0003989992314359066,0.009,1.5233839435332351e-05,0.009,0.009,0.007,0.122,0.118,-0.40231535248877115
Retail (Special Lines),43,3.9364,0.0006729589089874939,1.4889999999999999,0.0001669910037942509,0,1.5039999999999998,2.563,2.599,1.1469999999999998,0.05357693870157121
Rubber& Tires,16,210.7854,0.027158870684800118,72.26,0.006604157182596721,73.06200000000001,73.06200000000001,60.076,61.041,62.852,0.02829037580004856
Shoe,12,3.2432000000000003,0.003931847332982564,1.135,0.000990662460788096,0.007,1.1449999999999998,2.346,2.386,0.523,0.1676127656417541
Software (Entertainment),5,1.5182,0.0005154481669370319,0.5750000000000001,0.0011242721559824968,0.563,0.581,0.239,0.243,0.232,0.19904635157513506
Software (System & Application),73,323.56940000000003,0.12476620029156504,91.82799999999999,0.01839757867124636,75.50800000000001,85.34100000000001,192.92700000000002,214.79799999999997,192.43800000000002,-0.1375441781076514
Steel,168,495.65340000000003,0.006452444913377392,173.178,0.001686850747216399,119.037,175.13400000000001,202.48999999999998,205.84699999999998,107.824,0.09939930008905051
Telecom. Equipment,21,69.963,0.03137193883362016,20.619,0.010621599777048919,19.309,20.747,35.562,36.119,10.307,0.14875407377664307
Tobacco,6,62.22239999999999,0.007485876997660723,21.608,0.0023754627276727884,19.7,21.838,19.474999999999998,19.808,18.98,0.026274817977816056
Transportation,48,0.36219999999999997,8.393126690938478e-05,0.089,1.2579409287900842e-05,0.09,0.09,0.244,0.248,0.256,-0.1904754791329598
Utility (Water),1,15.570000000000002,0.07964194373401536,5.14,0.01527035056446821,5.2,5.2,5.22,5.31,5.47,-0.012367987298481764
Total Market,4446,24345.806399999965,0.011186739831776411,8308.670999999995,0.004465525499873445,7801.572999999996,8372.31,7930.802000000004,8000.85100000002,7458.193999999998,0.021832184131812316
Total Market (without financials),3850,24247.073999999964,0.02032986783918184,8272.446999999993,0.005426086352525215,7776.493999999995,8337.663,7890.860000000004,7972.45000000002,7433.110999999998,0.021627736061744507
