Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Retail (General),32,0.2381915912079783,0.23608365806189763
Retail (Grocery and Food),32,0.05002810728787756,0.05008013033968148
Retail (REITs),33,0.0021032480816423104,0.0021032480816423104
Retail (Special Lines),111,0.11198972157297436,0.10907447009811758
Rubber& Tires,8,0.11518181121017769,0.10354242853333935
Semiconductor,40,0.24336302518716021,0.16152752029600595
Semiconductor Equip,22,0.6103817500875819,0.35158809713636974
Shipbuilding & Marine,62,0.20860561648537224,0.20814499839551276
Shoe,10,0.130723008544058,0.1255260878165906
Software (Entertainment),56,-0.07651168059901806,-0.0712574387431826
Software (Internet),28,0.327709550349403,0.43117617115044005
Software (System & Application),339,0.09083725550666415,0.06782959778696529
Steel,59,0.029976051539276957,0.02961058808446447
Telecom (Wireless),12,0.17805503721829263,0.17790776213201057
Telecom. Equipment,54,0.057387679789671076,0.03338391997842178
Telecom. Services,64,0.15798807427540237,0.15415915980467196
Tobacco,6,0.1449128846404985,0.14385298181958317
Transportation,59,0.13057096427642642,0.13066759017416948
Transportation (Railroads),7,0.049529389469694575,0.049529389469694575
Trucking,6,0.18266306846236358,0.18266306846236358
Utility (General),16,0.09069184562176492,0.09023478158789526
Utility (Water),12,0.008475308508217856,0.0082557130662656
Total Market,6971,0.1393761995325871,0.12930217264969399
Total Market (without financials),6149,0.13568033193369816,0.12255583952798484
