Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Furn/Home Furnishings,103,0.18266129101112505,0.14857147712355043
Green & Renewable Energy,41,0.10380868096003867,0.1037854334159398
Healthcare Products,140,0.09044823526378663,0.07733743938029741
Healthcare Support Services,75,0.06393985617903533,0.05949779500137148
Heathcare Information and Technology,45,0.09037708041908134,0.08103990729778293
Homebuilding,4,0.013605091159270721,0.011313828076296096
Hospitals/Healthcare Facilities,25,0.07775945574724191,0.07724455963905688
Hotel/Gaming,80,-0.03701749094049444,-0.03647141915136498
Household Products,34,0.0466162113396273,0.04252533332586361
Information Services,3,0.07188881869867339,0.046381048387096765
Insurance (General),6,0.06805057804674638,0.06804582354634192
Insurance (Life),8,0.06322453762948396,0.06322453762948398
Insurance (Prop/Cas.),3,0.10311878188824546,0.10311878188824547
Investments & Asset Management,42,-0.017632338709124996,-0.017624696694472357
Machinery,421,0.0814390394690948,0.07134824697129664
Metals & Mining,129,0.08549174948589018,0.07810619086616674
Office Equipment & Services,10,0.07249928254838814,0.06107316665622326
Oil/Gas (Integrated),4,0.1047203749632044,0.10153125915229477
Oil/Gas (Production and Exploration),15,0.20787676408625858,0.20412975974002365
Oil/Gas Distribution,21,0.10567161078982769,0.10516626966083872
Oilfield Svcs/Equip.,56,0.05798177900371524,0.050190871625052945
Packaging & Container,22,0.062023469234241006,0.0590836669746143
Paper/Forest Products,47,-0.0037612189943277896,-0.004957162937475458
Power,101,0.08055323965685679,0.07898873552837966
Precious Metals,19,0.12004178469444941,0.11393871938203916
Publishing & Newspapers,41,0.08538715026499814,0.082198780657291
R.E.I.T.,9,-0.007086614173228346,-0.007086614173228348
Real Estate (Development),206,-0.06669599993611375,-0.06659404293308237
Real Estate (General/Diversified),56,0.019423509604514815,0.0194369634819823
Real Estate (Operations & Services),125,0.008359683772333705,0.008286695865536703
Recreation,62,0.025108551024359074,0.022110813380104902
Reinsurance,1,0.035503538295739726,0.03550353829573973
Restaurant/Dining,48,0.0869795497964892,0.06577072488893222
Retail (Automotive),28,0.021359648650128113,0.02132662212726026
Retail (Building Supply),7,0.11425677662459297,0.11425677662459295
Retail (Distributors),136,0.06561845102753036,0.06375131146627125
Retail (General),58,0.016205372557336308,0.016227006548085156
Retail (Grocery and Food),29,-0.045570847403987626,-0.047125896763460406
Retail (REITs),2,-0.007647477236376212,-0.007647477236376208
Retail (Special Lines),71,-0.017982434883014892,-0.018658588100594484
Rubber& Tires,15,0.09680307301508627,0.08623363126627097
Semiconductor,173,0.09625828549143729,0.08061974142170715
Semiconductor Equip,59,0.20525490593826132,0.18134381509018585
Shipbuilding & Marine,56,0.13018990552079324,0.12887767168493772
Shoe,21,0.04453239763402739,0.04188427466725478
Software (Entertainment),33,0.22945288011990075,0.17731586055193496
Software (Internet),19,0.025053752272757118,0.01907286208895868
Software (System & Application),189,-0.024194233033408372,-0.017363917740521977
Steel,111,0.03221814554440128,0.029320930416200354
Telecom (Wireless),8,0.09754124769047831,0.09342500038038301
Telecom. Equipment,125,0.06409204472189468,0.047326027575500404
Telecom. Services,16,0.05675850090263448,0.059152514568539594
Tobacco,2,0.07833807044997286,0.07489607674864518
Transportation,141,0.0842117628913963,0.08128621409915796
Transportation (Railroads),10,0.052145500572758886,0.05200192983647415
Trucking,7,0.012829345253747045,0.011670205469014903
Utility (General),4,0.06139701132595495,0.05903005843192004
Utility (Water),38,0.06496785957186672,0.06432079588085725
Total Market,7504,0.07371922833889177,0.06931895948434273
Total Market (without financials),7161,0.06398103928103295,0.05843360490643741
