Industry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Restaurant/Dining,107,11.239799999999999,0.0007104650430761395,2.675,6.74077538118644e-05,3.8020000000000005,5.193,4.129,3.779,6.081,-0.15146500785982953
Retail (Building Supply),19,0.6190000000000001,3.064590007196989e-05,0.187,8.115403643686044e-06,0.194,0.211,0.258,0.235,0.25,-0.05641653998628737
Retail (Distributors),144,239.53940000000003,0.0005952276321810709,75.73199999999997,0.00011974049269705849,79.824,86.60300000000002,82.53200000000001,74.86800000000001,79.83700000000002,-0.010501720552831495
Retail (General),42,372.47200000000004,0.005176730727270798,125.569,0.000981669672599573,127.078,118.99900000000001,119.169,130.868,139.879,-0.021353193277516946
Retail (Grocery and Food),57,4.9508,8.01647822863742e-05,1.69,1.0369789134939918e-05,1.4409999999999998,1.7429999999999999,1.828,1.655,0.624,0.22050741707263222
Retail (Special Lines),131,103.11379999999998,0.0017982545808164262,30.8,0.00020713789102152735,33.16899999999999,35.922,41.494,38.139,41.85200000000001,-0.05948245844564337
Rubber& Tires,6,3556.2740000000003,0.09308309709366931,1133.96,0.023923711470706134,1171.4,1274.1100000000001,1283.9099999999999,1035.8200000000002,1102.87,0.0055754972256201185
Semiconductor,21,8701.622599999999,0.43501629418480214,2878.7940000000003,0.12142690833995559,2978.26,3230.232,2785.3660000000004,1939.6750000000002,2065.416,0.06866259931683083
Semiconductor Equip,36,6726.4054,0.2610200751772963,1910.3690000000004,0.05420218446519302,2168.2450000000003,2751.6960000000013,2593.5280000000002,1965.0579999999998,1966.9499999999998,-0.0058205351756844825
Shipbuilding & Marine,29,74.9776,0.001032642338982411,25.424,0.0005523354334129913,26.291,28.581,19.526,17.809,18.954000000000004,0.06049494007670608
Shoe,3,129.1582,0.06963598904863229,41.383,0.010416740083670212,42.805,46.567,46.737,34.481,36.718,0.02420900689774652
Software (Entertainment),73,805.1996,0.062023233994944346,266.86099999999993,0.016191888019491833,276.27,300.715,235.10000000000002,214.268,227.55600000000004,0.03237947967077082
Software (Internet),26,33.315000000000005,0.014687724278190172,10.834000000000003,0.0029718912958203157,10.868,11.719,11.277,11.222000000000001,11.886000000000003,-0.018363674588042223
Software (System & Application),176,823.8521999999998,0.18594691622327494,277.59600000000006,0.017287859463122016,286.50200000000007,273.8939999999999,266.43800000000016,230.7150000000001,243.927,0.026196823192718544
Steel,42,3663.162400000001,0.030959350391450507,1176.6009999999997,0.00790013448883165,1215.854,1322.2859999999998,1237.949,1126.635,1199.3120000000004,-0.003816356268921184
Telecom (Wireless),7,3125.727,0.013858540344061013,553.211,0.004475777319133891,571.444,3024.8350000000005,516.026,470.247,495.151,0.022423043957729094
Telecom. Equipment,16,478.2962,0.30738052499850393,151.818,0.07149153787472098,156.18399999999994,168.73899999999995,173.41300000000004,154.61200000000002,165.59599999999998,-0.017223677408561122
Telecom. Services,20,5344.627,0.04382466704617821,1698.2630000000001,0.01810507204660108,1754.3609999999999,1908.302,1885.4730000000002,1718.5240000000003,1829.721,-0.01480088047998429
Tobacco,1,1490.12,0.1547212127504932,474.1,0.025233386202271592,489.7,532.7,536.9,449.4,478.4,-0.001804157094107084
Transportation,33,58.8146,0.001708084947304989,16.73,0.00026105586408242687,17.28,18.82,29.141,26.561,28.250999999999998,-0.09948194810190103
Transportation (Railroads),20,1190.7359999999999,0.005529110219084788,378.82,0.004104999208951634,391.33,425.71,418.06,381.01,405.67,-0.013602412203513436
Total Market,4020,375301.8308,0.05441616057108478,117780.61199999996,0.017952901803721544,126824.19199999982,136753.72999999992,129096.9120000004,111854.31199999986,118343.80900000042,-0.000953615023582044
Total Market (without financials),3821,375143.0131999999,0.07434610323146655,117735.72699999997,0.019609257114780933,126777.88399999982,136703.34799999994,129016.02800000041,111782.79499999985,118267.63300000041,-0.000901118033531656
