Indusry_Name,Number_of_firms,R_D_Capitalized_my_estimate_in_millions_,Capitalized_R_D_as_of_Invested_Capital,R_D_LTM_in_millions_,Current_R_D_as_of_Revenue,R_D_1_year_ago_in_millions_,R_D_2_years_ago_in_millions_,R_D_3_years_ago_in_millions_,R_D_4_years_ago,R_D_5_years_ago_in_millions_,CAGR_in_R_D_Last_5_years
Education,260,4764.0806,0.09140036373758356,1588.553,0.02994121182186997,1600.9540000000004,1601.8349999999998,1561.2160000000001,1545.885,1508.245,0.010429373861700952
Electrical Equipment,1072,88771.61620000012,0.15970899907514638,30176.831999999995,0.03313758953334693,29997.678999999986,29975.21100000002,28408.394999999982,26240.78199999999,25926.845999999994,0.030824640886091714
Electronics (Consumer & Office),127,49194.76760000002,0.29976486042751616,15922.404999999997,0.05345172198070283,17685.47500000001,15600.749000000002,17546.197,13725.271999999995,14011.000999999998,0.025906781124279243
Electronics (General),1486,149819.41399999982,0.19773133025650513,49529.027999999984,0.043768405575538384,50367.76799999998,51256.33299999996,49641.20400000011,46929.45100000001,48040.27599999998,0.0061225022718618405
Engineering/Construction,1623,190359.35679999992,0.10066965204073987,63872.93899999996,0.020440309880501172,63699.31999999998,64480.19700000001,62825.18000000002,58543.858,59846.45199999997,0.01310789162615733
Entertainment,741,53794.097199999975,0.1461097071931637,18275.259000000002,0.04456893301133114,18241.551000000003,18294.19699999999,17143.000999999997,15459.393999999991,15284.48,0.036388474236924484
Environmental & Waste Services,383,3609.4264,0.020929898375859683,1215.0449999999994,0.006897481807330802,1189.6669999999997,1213.1319999999996,1189.4620000000004,1194.9190000000006,1202.0370000000003,0.002155017815130611
Farming/Agriculture,430,18010.50559999998,0.04569128955533448,6248.243,0.011416710153571747,6064.059000000004,5985.133000000001,5809.664000000001,4980.3499999999985,4949.649,0.04769941587959514
Financial Svcs. (Non-bank & Insurance),1258,44004.184199999996,0.0036125081820227367,14744.524000000003,0.014644185017032848,14739.726,14951.042000000001,14472.234999999997,13541.800999999992,12656.47899999999,0.031011645514343433
Food Processing,1657,29033.29939999999,0.025633406390603537,9711.427999999994,0.005346384603332723,9734.866,9823.377999999995,9474.327,9251.105000000001,9520.061000000003,0.003988348382224949
Food Wholesalers,173,244.0404,0.0028973435195464594,79.369,0.00017398259088138548,82.993,82.19900000000001,83.484,77.82000000000001,80.489,-0.002798609634310778
Furn/Home Furnishings,383,26568.87799999999,0.17185361880785416,8887.196000000004,0.027058862677114385,8824.985000000002,9023.431999999999,8804.080999999998,8430.011999999999,8706.562,0.004115363943043127
Green & Renewable Energy,253,743.1308,0.001535562759321635,263.15200000000004,0.0027029514382488923,250.79699999999997,241.65099999999995,236.69400000000005,198.36499999999998,186.793,0.07095005032707813
Healthcare Products,849,118514.64920000001,0.26556270664727577,39925.94399999998,0.08171971298545774,40152.181999999986,39861.951999999976,38230.30099999997,36288.34000000002,36188.32299999999,0.01985245827553328
Healthcare Support Services,463,12605.468599999993,0.03543488682985241,4156.2480000000005,0.0015441444563425023,4242.862999999999,4310.997000000002,4243.441000000002,3854.7780000000007,3971.982000000002,0.009110758541999164
Heathcare Information and Technology,443,41696.294600000016,0.20273003666983527,14042.312999999995,0.06148678941419178,14005.54399999999,13944.647000000014,13645.223,13123.345000000003,13093.172999999995,0.014095250192653008
Homebuilding,173,1280.5287999999996,0.005392343189094127,411.88,0.001330551227428824,426.045,454.78599999999994,439.92300000000006,394.86000000000007,421.78799999999995,-0.004742871564171525
Hospitals/Healthcare Facilities,232,291.54779999999994,0.0014325032901860433,103.302,0.0004432359217180709,99.903,97.129,86.27899999999998,77.67199999999998,74.374,0.0679170443856476
Hotel/Gaming,650,24073.94319999999,0.047087130195789514,8384.771,0.02144115988300002,8144.508999999995,7777.176000000002,7587.099999999997,7362.097000000001,7294.57,0.028249014491018576
Household Products,178,12790.241600000007,0.10352466288185347,4262.418999999998,0.01795335057629054,4263.200999999997,4280.305000000001,4260.169999999999,4225.054000000001,4277.075000000003,-0.0006862694593890994
Information Services,81,3329.4543999999996,0.11911366263167814,1130.9339999999997,0.01603552556864888,1123.0009999999995,1107.4720000000002,1076.0149999999999,1026.152,980.5889999999999,0.02893999524084201
Insurance (General),202,332.0742,0.0006463170772049747,110.37700000000001,0.00013222099796880723,109.095,110.679,113.01499999999999,114.03899999999999,105.474,0.009128876681065545
Investments & Asset Management,1374,2835.8765999999996,0.002163836554073378,930.2009999999999,0.0024940338241189967,940.6229999999999,943.8889999999999,962.519,1009.1810000000004,1008.9110000000003,-0.01611398169806877
Machinery,1492,69414.68600000003,0.1250677843456702,23300.164999999994,0.028118925544266236,23537.331999999966,23668.05499999996,22319.98900000001,20779.133999999976,21378.624000000003,0.017362790444947596
Metals & Mining,1815,21337.150999999998,0.02329659886342361,7137.9860000000035,0.006132029239957539,7054.688999999999,7403.207000000003,7339.495999999999,5888.456000000004,5975.977000000001,0.036175584855133724
Office Equipment & Services,137,2070.8671999999992,0.08417020833494426,682.323,0.01480885854591981,684.9929999999999,707.069,697.908,685.7259999999999,711.4540000000001,-0.008326661809678226
Oil/Gas (Integrated),36,29582.540999999997,0.012657045534982354,10041.897,0.0028864522001409636,9973.867999999999,10115.630000000001,10001.84,7457.178,9332.343,0.014763911956643838
Oil/Gas (Production and Exploration),590,2769.9759999999997,0.0031434129973049586,958.425,0.0017583637516456713,919.8139999999999,942.7119999999998,897.4789999999999,755.405,781.6800000000001,0.04161164518766736
Oil/Gas Distribution,174,874.9869999999999,0.0016000422165003167,337.3570000000001,0.0010000761210072276,304.769,278.4670000000001,239.339,154.99499999999998,159.53899999999996,0.16156782062614794
Oilfield Svcs/Equip.,444,14674.043799999996,0.015587380521658718,4905.2180000000035,0.002359096412812143,4942.772000000003,4977.397000000003,4852.4209999999985,4436.008,4357.787000000002,0.023949322201902046
Packaging & Container,164,2158.8422,0.02584829282546051,732.276,0.005865893446666675,704.6630000000001,716.243,712.1980000000001,741.0540000000004,773.8000000000003,-0.010970569571218225
Paper/Forest Products,266,3961.602399999999,0.0159939833218559,1286.9700000000005,0.006322895267288063,1306.8359999999996,1360.59,1365.9190000000003,1332.2099999999998,1414.3399999999997,-0.018697467069004214
Power,488,13655.864000000003,0.003795572992099843,4521.713999999999,0.00209717603637806,4571.2970000000005,4687.319999999998,4507.154999999996,4309.292000000002,4287.127000000001,0.010711827965667275
Precious Metals,853,2584.3192000000004,0.008657653316350083,854.378,0.004130217708975182,874,876.5749999999997,856.2709999999998,811.439,773.664,0.020045474963688026
Publishing & Newspapers,205,1746.3437999999999,0.03201577380101915,576.9240000000001,0.007933573954438264,584.257,596.7109999999999,579.5820000000001,560.774,574.219,0.0009403789605375579
R.E.I.T.,633,58.40039999999999,2.772247465475823e-05,20.061999999999998,9.02304323870024e-05,19.061999999999998,20.064,18.585,18.081999999999997,17.591,0.026636591781416863
Real Estate (Development),884,3740.6945999999994,0.001830741084028915,1178,0.0013376389622644167,1221.0559999999996,1291.2779999999998,1362.065,1331.285,1575.0449999999998,-0.05643795098459181
Real Estate (General/Diversified),336,4211.653600000001,0.004864736460352083,1428.6660000000002,0.00675270320398838,1425.976,1452.0200000000004,1282.9189999999999,1289.1360000000002,1314.435,0.016806511969297055
Real Estate (Operations & Services),748,5255.498199999998,0.004823474351672886,1736.1509999999998,0.0065760512838299555,1762.8800000000006,1768.2490000000007,1762.9479999999996,1714.5729999999999,1646.9419999999998,0.010605920033704086
Recreation,326,12349.060599999999,0.1070456407425897,4056.0270000000005,0.02742586945360874,4134.758000000001,4251.943,4131.938,3906.431000000001,3978.2980000000016,0.003877464676149911
Restaurant/Dining,394,14035.174600000002,0.05690543374696945,4744.063000000002,0.011286980020714245,4770.178000000001,4804.479999999999,4452.590999999999,4056.2239999999993,3902.4360000000006,0.03983140933307783
Retail (Automotive),204,262.446,0.0012554728250701937,92.551,0.00016822425099143312,92.026,89.94899999999998,76.33599999999998,58.85199999999999,55.793000000000006,0.10652257900403028
Retail (Building Supply),120,1405.8878000000002,0.010534639212545745,471.241,0.001254885458924438,475.14000000000004,476.32899999999995,474.36999999999995,394.947,403.231,0.031662943258821796
Retail (Distributors),1028,3056.564199999999,0.003144901945959776,1025.937,0.0005937098924810371,1026.5080000000003,1058.3410000000001,952.0200000000006,968.0409999999998,942.7700000000002,0.017051600748353213
Retail (General),256,251788.21959999992,0.25520540170512857,87921.583,0.03643453995221073,86394.21299999997,82878.31600000008,77461.84400000003,70197.695,65281.092999999986,0.06135731222164753
Retail (Grocery and Food),201,3939.7736,0.010064910747542117,2458.234999999999,0.0018912985299479438,749.813,755.312,742.383,657.739,643.4210000000003,0.3074516374051397
Retail (REITs),123,10.335200000000002,2.0232572450070652e-05,3.5,7.489594332114678e-05,3.465,3.428,3.466,3.1,3.311,0.011164403934980083
Retail (Special Lines),639,5108.625199999999,0.013253406682594062,1711.1959999999997,0.001650713709377734,1673.4939999999997,1723.6599999999999,1718.0200000000004,1686.1499999999999,1718.8549999999996,-0.0008927672926215546
Rubber& Tires,89,11727.458999999999,0.08437132979864592,3898.0270000000005,0.023040831510777567,3919.1720000000005,3995.1950000000006,3916.876,3651.1349999999998,3776.9689999999987,0.00632968664615996
Semiconductor,647,307790.6265999999,0.36875151865495337,102828.215,0.13717254445637508,103133.25000000001,103752.34300000005,102630.28399999991,95761.46099999995,93625.09700000007,0.018929188330309543
Semiconductor Equip,367,59794.45580000001,0.306528723802102,20179.9,0.0825754018942834,20266.848,20287.46400000001,19374.54000000002,17393.915000000005,16968.868999999984,0.03526903061520836
Shipbuilding & Marine,348,1652.4201999999996,0.0029828014929775748,518.4339999999999,0.0014077661315066853,583.3929999999999,586.8,546.3,483.3589999999999,441.91900000000004,0.032452690421604036
Shoe,85,2592.3312000000005,0.037477761611156124,856.361,0.006625234474855817,858.321,894.6559999999998,876.3280000000001,809.943,821.4460000000001,0.008359913397768315
Software (Entertainment),317,290116.5351999999,0.48077059037291814,98969.32,0.16370647314034534,97931.31299999998,96948.29900000001,92754.91700000004,87656.09299999996,82459.10700000005,0.03717584015473374
Software (Internet),151,25740.614000000005,0.48881965046206227,8960.665,0.1325002495655135,8806.152999999997,8374.272999999997,8026.4400000000005,7499.433999999999,7026.234000000001,0.04984099247650153
Software (System & Application),1616,346362.7054000005,0.7686156352717616,117625.28699999995,0.16861529735742228,117028.35000000005,115395.72999999985,111497.44900000008,106391.60399999995,103398.3669999999,0.02611822975542477
Steel,718,34001.87,0.036627984097570676,11299.113,0.008793214494200704,11296.149000000003,11787.553999999996,11495.263999999996,9975.999000000003,10250.730000000003,0.019665936993099598
Telecom (Wireless),98,15426.2508,0.015061206629819543,4819.7570000000005,0.007204990042612834,4592.1759999999995,7137.685,4486.504,4277.702,4818.37,5.75647085918618e-05
Telecom. Equipment,453,106423.96840000009,0.7795318368956251,35921.996,0.12521903791534367,36036.67099999999,35622.699,34468.20000000002,32558.681000000004,32859.78099999999,0.017979797222527516
Telecom. Services,288,25535.832000000006,0.014562488093490466,9052.039000000004,0.008079886302172162,8997.836000000001,6719.452999999999,9023.044,8223.174,8037.177000000001,0.024067484025209307
Tobacco,56,5950.6462,0.027048564875890562,2016.2249999999997,0.011781097488588294,1994.2939999999996,2012.724,1978.9719999999998,1698.814,1887.7989999999998,0.013250084768807735
Transportation,814,34964.48720000002,0.0410540450187629,11840.685000000001,0.00986712536012029,12061.874000000007,11610.194000000005,10867.826000000015,10805.281,10514.270000000008,0.024046176746686854
Transportation (Railroads),49,1292.4118,0.002514417531615496,410.72799999999995,0.001941745755225155,424.51500000000004,460.055,454.487,421.22,448.93800000000005,-0.017633399206131384
Trucking,106,1054.5014,0.011497012478961094,310.216,0.0022675405462412018,350.702,377.894,394.559,395.819,377.6670000000001,-0.03858469599041536
Utility (General),50,1241.6958,0.001586465871352392,418.3690000000001,0.0007055296611705814,428.66400000000004,422.97,400.79999999999995,331.468,348.274,0.03735567850027044
Utility (Water),102,525.4505999999999,0.0027372510841877557,174.37999999999997,0.0033034392728008293,174.67700000000005,179.28799999999998,176.56000000000003,165.66100000000006,170.15299999999996,0.00491982151489978
Total Market,47698,4534400.164199994,0.04902166026547967,1531201.303000013,0.022502820201715484,1535360.635999989,1517889.6170000045,1468880.8449999948,1383121.2210000022,1377877.4200000055,0.021325890496757482
Total Market (without financials),42421,4482508.476799994,0.08651227623797372,1513825.959000013,0.025171774934609693,1518001.533999989,1500311.4130000046,1451779.2049999945,1366913.8040000023,1361924.9800000053,0.021373421960854122
