Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Office Equipment & Services,137,0.08262946816534691,0.07462331653693019
Oil/Gas (Integrated),36,0.2111799007567265,0.20799923128898257
Oil/Gas (Production and Exploration),590,0.21873526979182864,0.21788518331081683
Oil/Gas Distribution,174,0.1980299140664168,0.19774125052096567
Oilfield Svcs/Equip.,444,0.16710585203452488,0.16310423511032537
Packaging & Container,426,0.0837951355806958,0.08074638167366033
Paper/Forest Products,266,0.06468581288494171,0.06263949761572167
Power,488,0.12425005928175509,0.12301163091128402
Precious Metals,853,0.043236320854281265,0.042833530683502624
Publishing & Newspapers,324,0.07706709737549311,0.07279212311183642
R.E.I.T.,659,0.02360740857350486,0.023607415481927015
Real Estate (Development),884,-0.03484020169433607,-0.034897292923263275
Real Estate (General/Diversified),336,0.03972777403412024,0.03953251812733366
Real Estate (Operations & Services),748,-0.028154334130633382,-0.02790765080331614
Recreation,326,0.09452247803676629,0.08225033312471657
Reinsurance,34,0.18999090330907184,0.1899909033090718
Restaurant/Dining,394,0.24646866445962629,0.21616917566480226
Retail (Automotive),204,0.20769252360863635,0.2072211517727985
Retail (Building Supply),120,0.8522817280375384,0.8162765881825672
Retail (Distributors),1028,0.14332500695587785,0.1424997122047102
Retail (General),256,0.15077463621146756,0.11697223090534245
Retail (Grocery and Food),201,0.10054514265836897,0.10695982156740931
Retail (REITs),123,0.03561672473232391,0.03561584453568163
Retail (Special Lines),639,0.08228908811454388,0.0807541675366461
Rubber& Tires,89,0.09015662424350955,0.08088785480341412
Semiconductor,647,0.12679960999111167,0.09470070325859219
Semiconductor Equip,367,0.2629036594867058,0.19896294587861643
Shipbuilding & Marine,348,0.13643801936112443,0.13591437729934136
Shoe,85,0.18728005326541663,0.17797744282201458
Software (Entertainment),317,0.20902108693447324,0.1485955906267549
Software (Internet),151,-0.10004457144069427,-0.05263223954176869
Software (System & Application),1616,0.16957095297200736,0.11432480644803425
Steel,718,0.00010149487153178553,0.00010207920160598657
Telecom (Wireless),98,0.08181796535473856,0.0792356842945984
Telecom. Equipment,453,0.12935477470221632,0.08494611138794497
Telecom. Services,288,0.0779658250341491,0.0767008615567087
Tobacco,56,0.28431447473661764,0.2733503068702964
Transportation,443,0.1310556943227592,0.12490000922382762
Transportation (Railroads),49,0.11847480095542914,0.11777981754202882
Trucking,106,0.12020693727190153,0.11681748178712575
Utility (General),50,0.10614481878166145,0.10586478652107129
Utility (Water),102,0.07967047669732136,0.07915746169905867
Total Market,47698,0.008643179175213485,0.008700120658985927
Total Market (without financials),42566,0.006288025122559176,0.006363249705852832
