Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2023_0,Average_2020_24_
Retail (General),256,1.0856124994038356,0.20206600925633075,0.1663147147490064,0.9432702823565624,0.050145172709159566,0.9930678407425075,0.2865179529329477,0.2972838203067488,0.12665161128178318,0.86,1.34,0.87,0.7347606574412107,0.9595656996367437
Retail (Grocery and Food),201,0.705680360826839,0.5008644099544065,0.20388956237660108,0.5135785820690332,0.06944415185521528,0.5519051683925645,0.28362121369770876,0.25255189468537254,0.1996803103152969,0.49,0.56,0.53,0.5285453639501723,0.5320901064685474
Retail (REITs),123,0.9472021176371492,0.773057303790728,0.036379179766419995,0.6005139105372211,0.023244441181511564,0.6148047022774255,0.1958057068211921,0.17432124177759648,0.13611131724039405,1.23,1.62,1.4,1.490503406647991,1.2710616217850832
Retail (Special Lines),639,1.0906405392648795,0.267245449271085,0.15364561217998884,0.909186163483598,0.07301264711469158,0.980796728945327,0.35768276588672027,0.3381580139068764,0.1558767709880232,0.75,0.64,1.09,0.9561788887224327,0.8833951235335521
Rubber& Tires,89,1.044744213088216,0.4246163016693234,0.17233330756142265,0.79321347905256,0.1035892365378709,0.8848772364010901,0.2645233844582652,0.2690211904339668,0.11319059269129114,0.72,1.21,1.1,0.9300642456688291,0.9689882964139838
Semiconductor,647,1.6822579862201206,0.07960395528017426,0.07515801726668393,1.5878623726438321,0.04762080213641853,1.6672585627718395,0.35205731835269655,0.3438195665674977,0.45570338893338724,1.53,1.16,1.55,1.6715997850986177,1.5157716695740915
Semiconductor Equip,367,1.9544533519177911,0.06159796091379524,0.12472294376754772,1.8684998240634376,0.04936047151683857,1.965518756667748,0.35126254777679206,0.3351128957237849,0.6891302347133141,1.82,2.58,1.93,1.9829052012920763,2.055684791591965
Shipbuilding & Marine,348,0.9453479455543992,0.44644792242217923,0.13686222773566767,0.7089716244639106,0.17863260611386836,0.8631601762392301,0.2896618593847156,0.29862899830307615,1.2309056982639013,0.71,1.05,0.99,1.0486074968125012,0.9323535346103462
Shoe,85,0.8997075382086072,0.12365739353420516,0.13799217449229226,0.8236460181065367,0.05564659539762826,0.8721798577655788,0.33676553384325053,0.31722109009264277,0.25523738040901306,0.9,1.05,1.13,0.979181546711328,0.9862722808953814
Software (Entertainment),317,1.356775411126699,0.050197014208973094,0.11274319857375675,1.3077515581811814,0.0351203362887375,1.3553519753448988,0.4660036724450452,0.4382090246503033,0.5511202972378308,1.18,1.16,1.28,1.4648921606853302,1.2880488272060457
Software (Internet),151,1.3617461374106075,0.11080804044170788,0.08315599371942124,1.2576719654355462,0.03164718720243465,1.298774525993413,0.43323221435879294,0.4698226412977677,0.9775144156620664,1.22,0.52,1.11,1.2628480564068731,1.0823245164800572
Software (System & Application),1616,1.298989733922843,0.0621332589723554,0.08178235100880618,1.2413879456218542,0.03441187476790311,1.2856288444138266,0.45324097959801884,0.4359142137619651,0.3061839467989557,1.25,1.2,1.2,1.3178605209622307,1.2506978730752116
Steel,718,1.1651510574107116,0.41407329838606444,0.14045727797487256,0.889951430603382,0.11604766727395016,1.006786675768852,0.3217273755212449,0.32684206346899697,7.954566218001845,0.82,0.74,1.07,1.0387463631868152,0.9351066077911335
Telecom (Wireless),98,0.897027162733216,0.6678524908268051,0.17769531998554977,0.5985159779602818,0.08353009059550842,0.6530666984464208,0.2806116246250456,0.29268715180378874,0.1300627127987562,0.61,0.73,0.72,0.5994486949624184,0.6625030786817679
Telecom. Equipment,453,1.185716234992941,0.12895911044125996,0.0787113828288091,1.0815552566427773,0.07910960596325241,1.1744668677688677,0.39288835761797347,0.36121152315507643,0.13359150499058917,1.27,1.2,1.17,1.1754366702843682,1.1979807076106472
Telecom. Services,288,0.849373944269902,0.8406796240052384,0.13311420339943306,0.5217863047623048,0.04049474810972552,0.543807658930849,0.3328544176369092,0.3013188613936473,0.0735886913156672,0.59,0.96,0.58,0.5328634384133827,0.6413342194688464
Tobacco,56,0.6668153472871898,0.3308870678862018,0.17406817384601334,0.534689994356043,0.03372479197746289,0.5533516641188336,0.3576528642132933,0.31215895747055444,0.13095563343898559,0.87,0.94,0.73,0.7752611377217213,0.7737225603681109
Transportation,443,0.9408740913308127,0.492233506169016,0.1565575649802559,0.6879746295951562,0.07780777709820902,0.7460208539065312,0.31732087812955406,0.30380702193123765,0.2890863925120886,0.79,0.77,0.85,0.8308679841758,0.7973777676164663
Transportation (Railroads),49,0.6287330139602276,0.4212132767903448,0.23196974015051325,0.47828324418155543,0.0391059810364619,0.49774817486891265,0.186508180093947,0.1925517420182543,0.2383071916438768,0.83,1.52,0.67,0.5377120552489277,0.8110920460235681
Trucking,106,1.0142471138460685,0.2867543255985533,0.20119370845273146,0.835356978680885,0.03822153255889042,0.8685544613027371,0.3205544589697382,0.2911515050298223,0.39839579614831205,0.65,0.71,0.92,0.8010306050790537,0.7899170132763581
Utility (Water),102,0.6700706237217016,0.8671136698671331,0.14058888548396203,0.4067047178753343,0.04858821719771205,0.4274749642866797,0.25433982782510367,0.34377339651496613,0.17624740448513707,0.69,2.37,0.51,0.48577767777887526,0.896650528413111
Total Market,47698,1.0126713640221112,0.6241464102291312,0.12472016611425192,0.6907187115410158,0.1215084172586813,0.7862553553280948,0.35320733358966394,0.34377339651496613,0.2307587063922625,0.79,0.81,0.89,0.8186211841318198,0.8189753078919828
Total Market (without financials),42566,1.0400974791141913,0.309916896891723,0.12238530330050343,0.8446148113474775,0.06675423138421084,0.905029349985941,0.3610054183867632,0.3518111767981802,0.23997826217581633,0.92,0.88,0.99,0.9471107323884489,0.9284280164748779
