Industry_Name,Number_of_firms,Average_Company_Age_years_,Market_Cap_millions_,Book_Equity_millions_,Enteprise_Value_millions_,Invested_Capital_millions_,Total_Debt_including_leases_millions_,Revenues_millions_,Gross_Profit_millions_,EBITDA_millions_,EBIT_Operating_Income_millions_,Net_Income_millions_
Real Estate (General/Diversified),336,39.02884615384615,349935.7609999999,464664.41800000024,707745.6844304384,865751.646430438,423160.44543043856,211569.49399999992,61822.03400000003,46947.08,33197.0401139123,18460.083000000002
Real Estate (Operations & Services),748,34.8841642228739,605711.0759999998,614963.3630000008,1074652.2869544341,1089566.94217256,540011.7699544339,264011.1709999998,105338.23500000003,57157.01500000003,46414.39440911317,-17313.88400000001
Recreation,326,41.52427184466019,273779.738,84774.17399999996,319525.1965184819,115362.57351848176,73957.8715184818,147890.5529999999,55577.32000000002,24875.088000000003,15751.225296303655,8013.065
Reinsurance,34,46.588235294117645,185259.11000000004,91351.9,205916.88438883293,150258.48770618357,50857.056388832934,271967.6,55946.23000000001,23829.294999999987,27816.563722233423,17356.03
Restaurant/Dining,394,33.890625,923538.5609999999,88684.3649999999,1130286.1065817485,246640.32370630096,252525.95958174844,420312.8730000001,130098.47800000005,61850.13899999995,36176.42968365034,21857.917
Retail (Automotive),204,35.94845360824742,271424.147,77273.52300000002,419801.5761614394,209041.56168041835,169549.19516143933,550164.4349999997,88287.91300000002,34492.64900000002,24008.404967712133,16049.133000000007
Retail (Building Supply),120,45.3728813559322,579260.276,31138.767999999996,699183.7257059733,133453.81570597345,132744.1227059734,375525.11000000004,131678.43300000002,52261.13700000001,40292.91045880531,26539.003
Retail (Distributors),1028,45.64829659318637,992387.6469999994,483655.71,1436488.9597540633,971910.8107414071,569134.165754064,1728010.6209999998,261849.26700000005,115455.136,90841.95064918717,69319.95800000004
Retail (General),256,45.03968253968254,3134011.627000001,531715.9769999998,3578377.4994308297,986610.0714079838,633277.2224308304,2413138.2779999995,730842.9560000001,213461.11,99483.1455138339,80169.28300000002
Retail (Grocery and Food),201,52.09090909090909,583957.2899999996,206885.47900000008,815577.0314944241,391436.51631109667,292483.42349442403,1299760.435,315599.32099999994,82167.275,49710.315901115166,20801.330000000005
Retail (REITs),123,23.13,325517.4,252326.43000000008,563745.2185809682,510819.868580968,251643.60358096796,46731.503000000004,34018.139,28140.162999999997,22195.24508380638,8987.041000000001
Retail (Special Lines),639,37.37931034482759,991984.8879999995,264106.54800000007,1165304.9880636868,385457.51461088477,265103.4470636868,1036640.085,339881.62700000015,91553.98699999998,53532.08538726264,21733.087000000018
Rubber& Tires,89,55.62921348314607,136217.29000000007,97364.74800000002,173955.11690321768,138998.15290321774,57840.08190321774,169179.09399999998,48251.325000000004,24458.132000000005,14909.369619356457,8778.077
Semiconductor,647,22.882911392405063,4611470.538999999,813119.9300000003,4741478.725562398,834683.007469876,367091.294562397,749626.7960000002,289839.55399999995,215775.13899999988,122439.07348752061,103103.29000000007
Semiconductor Equip,367,26.91160220994475,1245563.0999999994,165392.4029999999,1257018.525149466,195069.66609303426,76724.1471494656,244381.49299999987,95935.022,63845.99400000001,53498.40517010687,43482.26799999999
Shipbuilding & Marine,348,46.11834319526627,459131.93700000027,447840.00299999997,545478.6583913213,553982.6246869933,204978.499391321,368267.13499999966,102319.12700000001,87438.31699999998,63361.966321735825,61102.40300000002
Shoe,85,47.6219512195122,276387.868,49142.580000000016,293283.371361356,69169.85136135595,34177.40336135595,129257.46299999999,53411.504000000015,16326.019,12511.649727728809,9203.425000000001
Software (Entertainment),317,15.975609756097562,3343776.278000002,590655.6980000003,3388294.452338394,603440.6867004203,167847.58533839326,604553.4920000004,371008.1949999999,186369.41200000004,146117.9479323214,123459.49600000004
Software (Internet),151,17.91304347826087,378159.2680000001,49964.729999999996,406768.5634619507,52658.71364964233,41903.08746195066,67627.53300000002,27519.835,4504.242,-8.760692390130856,-4998.7
Software (System & Application),1616,19.963636363636365,6259237.7480000025,592165.5050000005,6419369.468966036,450631.87568066595,388906.8399660268,697595.5850000002,464861.27099999983,189339.5550000001,141599.8672067946,100414.06900000008
Steel,718,43.52571428571429,846513.6269999999,572455416.9400003,1058119.5086606406,928303.0676606406,350518.6896606406,1284980.9370000008,209857.01600000012,142855.2120000001,92458.59206787193,58101.289000000055
Telecom (Wireless),98,26.614583333333332,985631.6249999999,567343.3310000002,1506574.0337939216,1024237.3787939213,658256.5357939214,668947.0729999999,305671.767,203933.637,96085.77564121575,46418.87699999999
Telecom. Equipment,453,28.691075514874143,639628.3609999997,167253.687,664988.0904475607,136522.92743272462,82485.90444756106,286873.2790000001,113991.913,41653.83699999998,31855.210110487784,21635.063000000006
Telecom. Services,288,31.889705882352942,1371916.742999999,874901.2399999996,2422999.4596717306,1753534.9616124101,1153342.4516717305,1120317.621,539049.722,349561.993,173607.05646565388,68212.39700000007
Tobacco,56,81.36,461261.295,139080.92099999994,593183.4914319424,219998.59243194238,152625.39743194234,171140.67700000003,99421.093,63358.345,57881.28091361153,39542.719
Transportation,443,38.490566037735846,841297.1139999996,308643.6130000002,1157730.945154094,659799.0511579118,414114.62815409416,911830.7400000005,170447.56099999996,100649.158,58909.6983691811,40449.50300000001
Transportation (Railroads),49,62.765957446808514,670804.7,263797.69999999995,916074.6027733642,514000.47277336416,282551.8457733642,211525.11800000002,72619.02599999998,68432.663,45600.74984532717,31253.380000000005
Trucking,106,46.79807692307692,175304.495,56733.713999999985,216952.04023811992,91719.60123811995,50269.32223811995,136807.256,28172.32800000001,21383.984999999997,12049.123352376015,6819.786
Utility (General),50,67.89583333333333,651499.6999999998,355380.7,1113324.1060698347,782680.4360698343,522108.3970698342,592985.7000000001,214683.86,112416.84700000001,72529.62358603314,37721.81999999999
Utility (Water),102,35.9375,136299.50999999998,78908.289,242121.62431719195,191962.87948714828,118187.16831719199,52787.409,22374.431000000004,18793.824999999997,12274.224736561606,6286.660999999999
Total Market,47698,36.51308471271245,110866959.4830006,616870589.3879939,158184861.43833494,92497890.51704256,69197214.77433336,68044862.34499991,22224948.226999845,9866166.70200003,6783712.657933298,5331723.031999978
Total Market (without financials),42566,35.66620995388018,94445831.6700006,604369166.9369941,115457611.52252622,51933646.08607897,29270359.075524606,60196902.39799991,17246274.14399985,9250216.63500003,6257993.898895046,3800288.5049999794
