Industry_Name,Number_of_firms,Quarter_1,Quarter_2,Quarter_3,Quarter_4,Quarter_12,Quarter_23,Quarter_34,Quarter_45,12_31_18,12_31_19,12_31_20,12_31_21,12_31_22,12_31_23,2019,2020_0,2021_0,2022_0,2023_0
Diversified,23,988271.341,1073471.532,1069894.858,1052393.9889999998,-0.019728110895269713,0.08621133434243733,-0.0033318759681834065,0.06488364616049291,782655.1769999999,893166.2739999999,898283.382,1039824.5400000003,1008160.4420000002,1126322.7170000002,0.1412002376622623,0.0057291773647960564,0.15756849212201085,-0.030451385577032197,0.11720582367384735
Drugs (Biotechnology),572,1121290.4790000005,1073722.3529999992,1078375.1990000014,1083319.0119999999,-0.024455786499640086,-0.04242266111313453,0.004333379096562728,-0.03386407689278226,684823.0610000003,822117.9170000001,1119943.8700000008,1185154.145000001,1149399.9589999996,1218078.9190000002,0.20048223230029305,0.362266709971242,0.05822637789874241,-0.030168384552206384,0.05975201187561607
Drugs (Pharmaceutical),245,1550688.1419999995,1697864.0910000007,1644233.525999999,1698419.6919999996,-0.10004500935258098,0.09491008863341222,-0.031587077719757106,0.09526838182270692,1098641.83,1248575.987,1347732.3410000007,1650368.9419999993,1723072.995999999,1651920.1909999996,0.13647228141677425,0.07941555422529589,0.22455245139806168,0.044053212678550224,-0.04129413272982396
Education,31,31508.371,30421.245000000006,33161.613,32898.373,0.1347183422964271,-0.03450276753437975,0.09008073140990747,0.044115324146716484,31489.713999999996,34828.00299999999,42703.356,38031.117,27767.57,40723.70199999999,0.10601204571118039,0.22612129096233313,-0.10941151791442338,-0.26987235215836547,0.4665922153072808
Electrical Equipment,103,229369.798,251569.768,234875.93399999992,227865.55900000004,0.03165583646726233,0.09678680538402884,-0.0663586651636141,-0.006558138922893253,110654.25200000001,145689.75799999997,224854.25999999998,288341.089,222331.70199999993,246278.649,0.31662141640973696,0.543377263348876,0.28234656972921046,-0.22892813240363408,0.10770819808683907
Electronics (Consumer & Office),13,6265.35,5414.769999999999,4250.2,3829.32,0.14634022282218506,-0.13575937497506152,-0.21507284704613472,-0.38880988292753005,2052.188,3143.0260000000007,4981.782999999999,11577.68,5465.524,5288.128000000001,0.5315487664872811,0.5850276135164005,1.3240032735267677,-0.5279258020605164,-0.032457272166401596
Electronics (General),129,254948.4800000001,271871.6740000001,244953.4009999999,234844.174,0.09741149066369958,0.06637887780307627,-0.09901095102684443,-0.07885634776092831,134351.4,181676.2979999999,245123.1139999999,317479.95999999996,232318.03400000004,269499.1279999999,0.3522471518718815,0.34923001348255167,0.2951857326681975,-0.2682434696035615,0.16004394217626627
Engineering/Construction,43,109503.59,119287.89000000003,113782.37800000001,108434.32000000004,0.0744316847463713,0.08935140847893686,-0.04615315100300643,-0.009764702691482219,40510.562999999995,52763.026000000005,73055.70999999999,100647.61999999998,101917.68500000001,127016.23300000002,0.3024510668982807,0.3846004586620939,0.3776831407154895,0.012618927303000627,0.24626293267944632
Entertainment,98,540770.877,562410.1560000002,511318.00599999994,510927.9280000001,0.18146945001048786,0.04001561459826952,-0.09084499889436604,-0.05518593968217689,367199.912,529009.2009999999,757707.8289999998,830380.1569999998,457710.419,602730.4270000001,0.4406572107239499,0.43231502886468687,0.09591075242803115,-0.4487941274348153,0.31683790007847756
Environmental & Waste Services,57,160846.461,177849.53300000002,180278.27699999997,180860.929,0.03715189489144399,0.10570995404120209,0.013656173052756682,0.12443213158416944,89022.54599999999,113635.203,127504.02800000008,165631.09600000002,155084.76800000004,203179.78899999996,0.2764766691799627,0.12204690653828543,0.29902638056265896,-0.06367359906861925,0.3101208559695554
Farming/Agriculture,42,224664.77000000002,217872.704,203615.61300000004,200858.79200000002,-0.061708547436475025,-0.030232002997176766,-0.0654377108203511,-0.10596222095702856,99503.20499999996,117279.446,159114.94100000005,201995.18000000002,239440.28199999998,205847.19300000003,0.17864993393931416,0.3567163422651234,0.2694922219780729,0.18537621541266458,-0.14029840225463797
Financial Svcs. (Non-bank & Insurance),172,1952819.377,2054703.4310000015,1976080.394,1990114.2349999996,0.05643292541830469,0.05217279959425625,-0.038264907632794665,0.019097955724555193,1218132.7559999996,1811946.5349999997,2210511.4250000003,2457609.6459999997,1848502.9479999999,2290934.7339999997,0.4874787054819174,0.21996503886909702,0.11178328155440287,-0.2478451771180914,0.23934599967973647
Food Processing,82,457934.59799999994,442937.166,398600.8130000001,365085.716,0.008739662375385482,-0.03275016141060372,-0.10009625834830027,-0.20275576994075462,321347.658,398414.399,409215.66500000004,440509.471,453967.079,406262.08499999985,0.2398235651681644,0.027110631611484637,0.07647264920808938,0.030550099114668106,-0.10508469932464015
Food Wholesalers,14,62686.157,63173.119999999995,56850.67,53761.99999999999,0.01734346686207422,0.0077682701142454125,-0.10008133206021796,-0.14236248363414605,45749.310000000005,62483.2,54821.129,61742.17,61617.49600000001,64098.604,0.36577360401719705,-0.12262609789511414,0.12624769183429252,-0.002019268192225754,0.040266290600319055
Furn/Home Furnishings,31,37490.559,39424.023,42753.54099999999,40184.41099999999,0.023663168124461453,0.05157202377270509,0.08445403960930098,0.07185414333245843,33699.350000000006,42175.846,50846.6,62861.75600000001,36623.92100000001,45303.683,0.25153292274183303,0.20558577532742328,0.2363020536279714,-0.4173894696801024,0.23699707084885824
Green & Renewable Energy,17,25843.789,25067.229000000003,19485.514000000003,19062.076999999997,0.10877866500911981,-0.03004822551368136,-0.22266980526646962,-0.26241167655408437,4527.071,7192.080999999999,37090.08,28349.861,23308.339,23311.798,0.5886830579860576,4.157072063009302,-0.235648426749147,-0.17783233575642576,0.00014840182305553284
Healthcare Products,230,1023305.4730000001,1116104.5590000006,947437.7610000004,888659.92,0.046568194170680144,0.09068561485158844,-0.15112096500270644,-0.13157904120776653,617902.6330000003,818510.9279999997,1020010.273000001,1231144.165999999,977772.3790000003,1050360.2549999994,0.32466004235330614,0.24617795328934355,0.20699192801168764,-0.2058018825067469,0.07423801035803157
Healthcare Support Services,119,1080934.5519999997,1110777.7559999998,1113364.7719999996,1164442.6249999998,-0.11591179010288666,0.027608705767414587,0.0023290131495934396,0.07725543868080553,661868.9019999997,776533.7930000002,914225.9260000002,1221172.9710000004,1222654.6400000001,1172283.0459999999,0.17324411322772892,0.17731634378466765,0.3357452860071266,0.001213316241995166,-0.04119854646770915
Heathcare Information and Technology,128,785698.9280000002,747626.0409999997,710627.6419999996,666358.9349999998,0.020220715164893877,-0.04845734879251418,-0.049487841475548744,-0.15189023269228685,347568.6909999999,513689.28899999976,814124.5009999998,1088600.7760000003,770126.4210000001,738408.3160000001,0.477950408945206,0.5848578477952266,0.3371428751534411,-0.2925538563092115,-0.04118558217859136
Homebuilding,32,147165.18099999998,179748.24699999997,161008.31000000003,155658.26699999993,0.20795489420793856,0.22140472208572204,-0.10425657725607718,0.05771124624920576,62935.25099999999,93417.81499999999,117991.08999999998,171207.68399999998,121830.03,215644.84100000001,0.4843480166623948,0.2630469894848215,0.4510221407396102,-0.28840793150382193,0.7700466871755676
Hospitals/Healthcare Facilities,32,117107.30699999999,136809.10900000003,111527.41600000001,107067.872,0.04369233096293912,0.16823717071728095,-0.1847953925348641,-0.08572851051898911,72163.21299999999,87419.12000000002,98304.133,133370.41999999998,112204.81699999998,122470.973,0.21140836675329355,0.12451524334722164,0.35671223507967853,-0.15869788068448765,0.09149478849914283
Hotel/Gaming,68,491121.1980000001,526914.2550000001,522337.9540000001,497589.88600000006,0.21673169776834933,0.07288029338941304,-0.008685096211716758,0.01317126612808095,329286.5160000001,412296.2200000001,501877.9450000001,575626.076,403639.68400000007,586730.3379999999,0.25208959361093286,0.21727515474189896,0.14694435516587578,-0.2987814471420852,0.4535992402570599
Household Products,93,647950.3359999998,692672.6579999998,629334.108,616581.0989999999,-0.0029764096954938424,0.0690212189349031,-0.0914408115701888,-0.04841302682803128,446714.073,573670.0499999998,657770.2860000001,775782.423,649884.6590000001,650300.6159999999,0.2841996361283201,0.14660036025935175,0.17941238683439087,-0.16228488847832512,0.000640047421091472
Information Services,18,56692.121,57535.943,55565.90900000001,56345.50900000001,0.033237038782356176,0.014884290534834532,-0.03424005755845516,-0.006113936008850129,35329.501000000004,44093.370999999985,57431.960000000014,77762.61000000002,54868.456,65010.937000000005,0.2480609618573435,0.3025078078063035,0.3539954060422106,-0.29441082288776077,0.1848508549247314
Insurance (General),21,194196.41,219965.6,226170.312,228008.68499999997,-0.03843003718848981,0.13269653131074866,0.028207647013896775,0.1741138005589289,103598.40000000001,143230.56000000003,147499.99999999997,215400.19999999998,201957.65000000002,231312.81299999997,0.38255571514618003,0.029808163844363467,0.46034033898305093,-0.06240732367007995,0.1453530628822426
Insurance (Life),23,177921.69999999998,187057.96000000002,195597.35,197146.8,-0.1398191055702902,0.0513498915534194,0.04565103778529389,0.10805371126737207,162357.29999999996,186234.12999999998,158827.85000000003,202990.50999999998,206842.19,210042.35000000003,0.1470634828246098,-0.14716035132765382,0.2780536285040687,0.018974680146377487,0.015471505112182538
Insurance (Prop/Cas.),50,338944.22999999986,330326.6699999999,341117.00100000005,353701.5299999999,-0.025360749184403897,-0.025424713676347133,0.032665636716527,0.043539021154011204,241652.89999999997,292785.5,302442.7000000002,335019.70000000007,347763.7800000001,379832.74700000003,0.21159522604529069,0.032983873859874224,0.10771296513356043,0.03803979288382142,0.09221479879244443
Investments & Asset Management,334,498279.03299999994,497010.32800000004,491610.1270000001,477416.81300000014,0.008369491113513705,-0.0025461737620412483,-0.010865369783623402,-0.04186854878158164,274649.7279999999,349598.7590000001,399536.7839999999,621593.8129999998,494143.3050000001,588140.1799999997,0.27288951474949297,0.1428438280011166,0.5557861951454262,-0.2050382505979026,0.1902218932218449
Machinery,103,438808.21499999997,477669.298,443271.49300000013,440490.87699999986,0.09569471402518848,0.0885605184032392,-0.07201175613342403,0.003834618273953483,237874.65299999993,314915.451,395927.42899999977,481349.5380000002,400484.0119999998,505755.6640000001,0.3238714046594955,0.2572499308711269,0.21575193518608304,-0.16799751452135048,0.2628610602312891
Metals & Mining,68,138909.76300000004,131360.34300000002,127436.94400000006,121450.003,0.14194977878641568,-0.05434765589514401,-0.02986745398495161,-0.12569138138980218,49789.51900000001,63181.91299999999,107805.46,139533.91900000005,121642.62000000001,145572.12500000006,0.26898018436370075,0.7062709069920061,0.2943121712017187,-0.12822186267125513,0.19671974345833765
Office Equipment & Services,17,11373.571,12493.990999999998,13400.951000000001,13242.840999999999,-0.039284962510934496,0.09851083709768882,0.07259169628023598,0.16435207552667475,11813.341,14537.272999999997,13860.858,16085.493,11838.652,15265.460999999998,0.23058100159810824,-0.04652970333569417,0.16049764018937362,-0.26401683802914844,0.2894593911536547
Oil/Gas (Integrated),4,814007,780598.9999999999,841513.5,799218.3999999999,-0.05230553220619982,-0.0410414161057584,0.07803558549267953,-0.018167657034890428,541880.8999999999,556956.2,356860.3,511115.5,858934,733143.9,0.02782031992638978,-0.35926685078647114,0.4322565440874202,0.6805086130238664,-0.14644908689142588
Oil/Gas (Production and Exploration),166,528272.7539999998,537115.2409999998,608799.4740000003,635786.7350000001,-0.13008769598068004,0.0167384877093244,0.13346155075871424,0.20351982983396555,272442.95599999995,271314.4299999998,182408.585,410539.0989999998,607271.2749999998,581376.8179999997,-0.004142246937006933,-0.327685648713929,1.2506566727657025,0.4792044813251759,-0.042640674877961304
Oil/Gas Distribution,24,190235.68999999997,194053.03000000003,210818.30000000002,221051.70000000004,-0.045799788771080374,0.02006637135229483,0.08639530132562201,0.16198858374051728,115680.72000000002,145139.50000000003,113846.13,155781.59,199366.63999999998,221897.53999999995,0.2546559184624717,-0.21560891418256245,0.3683520906683433,0.2797830603731801,0.11301238762914378
Oilfield Svcs/Equip.,100,359954.2620000001,342026.2889999999,409588.66800000006,397496.2310000001,-0.025541509403034457,-0.049806252884429636,0.1975356315373764,0.10429649809230468,265684.052,279708.495,180517.1829999999,233138.44299999982,369389.01500000025,385868.69500000007,0.05278616798572444,-0.35462388083708396,0.2915027762204774,0.5844191556173364,0.044613346176522795
Packaging & Container,22,126256.517,122636.53699999998,122814.867,117366.637,0.014986864095016594,-0.02867162888708563,0.0014541343417093788,-0.0704112564739926,97121.24,122260.78999999998,149111.53000000003,161582.627,124392.26699999999,132627.167,0.25884708638398735,0.21961857108889982,0.08363603404780284,-0.23016311029526715,0.06620106055306474
Paper/Forest Products,7,6572.865999999999,7792.648,6523.095,6280.384000000001,-0.08056180176071881,0.18557840674068227,-0.16291676462224391,-0.044498396894139924,4010.14,4655.660000000001,5467.300000000001,9491.064,7148.784999999999,7835.423,0.16097193614188066,0.1743340364201853,0.7359691255281398,-0.24678782062790872,0.09604960842996402
Power,50,784258.2139999999,769931.0300000003,693892.0700000001,696105.5199999999,-0.03842340147065482,-0.018268452589008777,-0.09876074224466591,-0.1124026403885392,558873.1699999999,683797.7770000001,686076.1700000005,808751.9209999999,815596.194,752584.3899999999,0.2235294404989958,0.0033319690069719687,0.17880777144613447,0.008462759496802752,-0.07725858024295795
Precious Metals,61,58921.66500000002,51288.24600000001,51793.46399999999,55890.471,0.06598975817587638,-0.1295519907660453,0.009850561081772735,-0.05144447292859122,28564.010000000006,51695.350999999995,69423.29999999999,67243.952,55274.138,73376.948,0.8098072014398534,0.3429312047808708,-0.03139216948776535,-0.17800580786804443,0.3275095850431897
Publishing & Newspapers,21,24739.213000000007,25564.233000000004,26972.259999999995,27166.718,0.018616781458904885,0.03334867604721281,0.055078006838694904,0.098123776209049,20967.211,25155.3,28377.88100000001,32383.411,24287.066000000006,30883.835,0.19974468707354553,0.12810743660381751,0.14114972150316607,-0.25001520068407845,0.2716165468484333
R.E.I.T.,193,1108341.2680000002,1119269.6000000008,1035201.6269999995,1032020.6209999996,0.01606203631290537,0.009860078583666665,-0.07510967241494027,-0.06886024115814171,815027.9959999999,1065046.4789999996,1046454.3549999999,1470310.376000001,1090820.4699999997,1210734.0019999996,0.30676060727612064,-0.017456631580488713,0.40504014243411635,-0.25810190296854785,0.10992966789484604
Real Estate (Development),17,5255.51,5680.4890000000005,5681.68,5303.562,0.03780256019115047,0.08086351277040671,0.0002096650482026341,0.009143165934419217,5116.097,6945.420999999999,5929.023999999999,7453.849999999999,5064.075,6733.7210000000005,0.3575624152552228,-0.14634058900101232,0.25717993383059334,-0.3206094836896368,0.3297040426928908
Real Estate (General/Diversified),11,3790.007,4015.0399999999995,4374.2300000000005,4223.88,0.05854881325445915,0.05937535207718603,0.08946112616561752,0.11447815267887362,2569.559,2833.5299999999997,4114.299999999999,4764.91,3580.3799999999997,4949.867,0.10273007936381284,0.4520050961168576,0.15813382592421577,-0.24859441206654487,0.3824976678453127
Real Estate (Operations & Services),60,85262.297,101812.74200000003,89211.39499999997,87235.756,-0.026646006454764115,0.19411211734068123,-0.12376984208911734,0.023145740490664757,52492.575999999994,77664.48799999994,134836.176,148876.09300000005,87596.39100000005,107957.64500000003,0.4795328009812272,0.7361368042495833,0.10412574293118526,-0.41161546333701804,0.23244398276636735
Recreation,55,80493.91099999998,80687.069,72860.167,68125.716,0.07267920724849097,0.002399659770538687,-0.09700317655608481,-0.15365379624801656,55012.54000000001,75482.801,121462.32900000001,117803.141,75040.059,74838.90000000001,0.37210172444319056,0.6091391335623595,-0.030126114245677016,-0.36300459934255924,-0.0026806881908233438
Reinsurance,1,8876.4,9228.7,9613.3,9691.4,-0.06531742605326074,0.03968951376684249,0.0416743419983312,0.0918165021855708,8642.2,10152.4,7839.9,7436,9496.7,10662.2,0.17474717085927183,-0.22777865332335212,-0.05151851426676357,0.27712479827864445,0.12272684195562666
Restaurant/Dining,64,520064.9100000002,555777.759,498302.04799999995,475637.8289999997,0.08176514973857807,0.06866998390643153,-0.10341491732849284,-0.08542603076219946,314793.9300000001,375084.23399999994,476768.2560000001,582656.68,480755.83699999977,559459.6410000002,0.19152308305309385,0.27109649722040885,0.22209621271429603,-0.17489002786340713,0.16370847308090086
Retail (Automotive),30,167144.697,180358.50900000005,171848.628,169071.162,0.017188747012404137,0.07905612464630019,-0.04718314121791756,0.011525732102646513,92795.243,120332.66600000001,149406.27900000004,202225.095,164320.23799999995,177972.003,0.2967546838580939,0.24161031219901696,0.35352474041603,-0.1874389377836616,0.08308024115690515
Retail (Building Supply),16,450637.4999999999,482921.19999999995,457528.31,437635.62,-0.044698901685947146,0.07164006546281665,-0.05258184979247127,-0.028852192726969927,285993.6,354799.1,462332,668238.3,471722.99999999994,515127,0.2405840550278049,0.30308109575249786,0.44536458648763233,-0.2940796718775325,0.09201162546664055
Retail (Distributors),62,227571.57700000002,252295.15100000004,235252.99599999993,238215.96099999995,0.11143455649626666,0.10864086950542173,-0.06754848411652636,0.046773784935365326,102493.78300000004,133559.456,162005.06599999996,233234.39500000002,204754.81499999992,271771.68699999986,0.30309812059527497,0.2129808764719734,0.4396734667544291,-0.12210711889213466,0.3273030331423463
Retail (General),26,1929121.7299999997,2229453.75,2185857.98,2213032.8099999996,0.13968711282843826,0.15568329117312896,-0.019554462612198176,0.1471711585561788,1245393.0999999999,1583556.6000000003,2492303.0799999996,2723253.7,1692676.62,2513693.951000001,0.27153153490251425,0.5738642243668455,0.09266554371067937,-0.3784359422700867,0.4850408644505295
Retail (Grocery and Food),14,66269.197,66109.942,74596.76699999999,72686.105,0.06456170265237793,-0.0024031527045665912,0.12837441303457808,0.09683093036422341,32146.499999999996,37004.10899999999,47592.01000000001,65111.72899999999,62250.217,74613.071,0.15110848770472662,0.2861277108442206,0.3681231156238196,-0.04394771946541298,0.1985993719507837
Retail (REITs),28,163850.77000000002,164250.09000000003,150477.5,149442.44100000002,-0.012964293149612782,0.0024370956572252744,-0.08385133913777476,-0.08793568074168945,135689.33,143648.9,104889.99999999999,192513.4,166002.88,182940.35999999996,0.05866024985162799,-0.26981689382932983,0.8353837353417868,-0.13770740114714086,0.10203124186761059
Retail (Special Lines),105,349410.3819999999,340857.849,311394.4629999999,306256.7990000002,-0.0012269108331144363,-0.0244770431578073,-0.0864389248668882,-0.12350400910525827,264552.33200000005,306527.36999999994,365507.236,444448.8640000001,349839.604,362850.56800000014,0.15866440368403123,0.19241304944481818,0.2159782905091383,-0.2128687182334661,0.037191226639966546
Rubber& Tires,3,3172.18,3945.32,3575.7400000000002,3454.12,0.08792784141573473,0.24372513539584784,-0.09367554469599426,0.08887894129589125,4899.616999999999,3633.488,2480.96,5961.2300000000005,2915.8,4114.610000000001,-0.25841387194141907,-0.31719603862734647,1.4027916612924032,-0.510872756125833,0.41114273955689695
Semiconductor,63,2051472.6789999998,2533605.7899999986,2467815.662000001,2523813.621,0.38853935871661816,0.23501805114705054,-0.025966994652312447,0.2302448123414662,734445.7109999998,1051572.557,1498733.1079999993,2356890.636999999,1477432.1420000002,3039124.2600000002,0.4317907249648305,0.4252303352948752,0.5725886246318916,-0.3731435312244398,1.0570313678744916
Semiconductor Equip,30,325160.8499999999,375602.4899999999,346626.38,354393.68000000005,0.15020773087841222,0.15512826959334114,-0.07714568132921562,0.08990267432257038,86793.061,169080.00199999992,273940.1809999999,420468.4000000001,282697.5,414640.35000000003,0.9480820246678465,0.6201808478805202,0.5348912980385312,-0.32766053287238717,0.46672803968906695
Shipbuilding & Marine,8,7934.736,8822.616,9352.527999999998,9316.348,0.004780559261611916,0.11189786276443225,0.06006291104588457,0.17412198717134375,6859.400000000001,8134.9130000000005,6244.79,8749.28,7896.9839999999995,10158.478,0.1859511035950665,-0.23234704538327577,0.401052717545346,-0.0974132728635958,0.28637439305942625
Shoe,13,221830.12300000002,202719.18999999997,176178.135,180700.97100000005,0.051882053658805605,-0.08615120769689177,-0.13092522222489134,-0.18540832707377608,131608.552,178363.34100000001,245836.438,298495.38999999996,210888.77999999997,202109.006,0.35525646540051614,0.3782901610931362,0.2142032012357744,-0.2934940134251319,-0.04163224805037036
Software (Entertainment),84,1975284.7640000004,2360922.0929999994,2512521.0789999985,2629680.8529999997,0.27476832242924365,0.19523125780562078,0.06421176982056354,0.33129202478878583,1148713.195,1565003.5599999998,2165070.3039999986,3128951.6529999995,1549524.5129999998,2773080.8990000025,0.3623971299467834,0.38342835718533363,0.44519632790640395,-0.5047783779227348,0.7896334493160759
