Industry_Name,Number_of_firms,ROE_unadjusted_,ROE_adjusted_for_R_D_
Oil/Gas (Production and Exploration),103,0.19652438300778027,0.19421461165441092
Oil/Gas Distribution,111,0.16290173824275692,0.16284225238985478
Oilfield Svcs/Equip.,225,0.0976542229302756,0.09563638891826097
Packaging & Container,320,0.04326646515446256,0.040683616792921734
Paper/Forest Products,188,0.08032075528981464,0.07646117861174301
Power,321,0.07082693213613617,0.07012643897848787
Precious Metals,62,0.11921775611636594,0.11649837013043302
Publishing & Newspapers,170,0.07689954867224968,0.074147870985899
R.E.I.T.,213,0.05335791652123093,0.05335791652123094
Real Estate (Development),773,-0.0362728645289427,-0.036325275774213656
Real Estate (General/Diversified),218,0.026758099646973673,0.026700204635397816
Real Estate (Operations & Services),374,0.027709105200830503,0.02764014109425098
Recreation,143,0.06061804655668523,0.05498993047988676
Reinsurance,29,0.1435536130287033,0.14355361302870326
Restaurant/Dining,158,0.09159534135983617,0.07442474067620979
Retail (Automotive),107,0.08228678987035676,0.08216150485424858
Retail (Building Supply),46,0.06688047339543268,0.06682287377638477
Retail (Distributors),673,0.08000039774864001,0.07844200571139098
Retail (General),146,0.059647032636092646,0.06113174028862656
Retail (Grocery and Food),86,0.062401244798299595,0.06119427695456865
Retail (REITs),40,0.02968593696203323,0.029685757259260297
Retail (Special Lines),251,0.030721346985297958,0.02908237242490158
Rubber& Tires,72,0.08308151584908645,0.07620876914197315
Semiconductor,513,0.11441162773973863,0.09085212849816157
Semiconductor Equip,277,0.17130289082253225,0.14883994674819193
Shipbuilding & Marine,240,0.10697454998352568,0.10637929424862433
Shoe,58,0.07076805430630037,0.0637380156958305
Software (Entertainment),66,0.18936998553332493,0.15280567399991343
Software (Internet),42,0.028703036265567937,0.020326769320911802
Software (System & Application),521,-0.004663152738867254,-0.0037830801155830257
Steel,536,4.367397839745259e-05,4.393467784759694e-05
Telecom (Wireless),63,0.11387759153825903,0.1098479252722523
Telecom. Equipment,299,0.05647525168468969,0.04314022223329464
Telecom. Services,140,0.06708947700348619,0.06777773674388503
Tobacco,31,0.19477912346823617,0.1903964107437699
Transportation,296,0.0779467214734034,0.07555392467132087
Transportation (Railroads),15,0.05738814128825536,0.057253546018631744
Trucking,55,0.08905616071659082,0.08802179726138169
Utility (General),14,0.14397942923601964,0.1436633226811789
Utility (Water),71,0.08303810217351879,0.08241835225177636
Total Market,25637,0.0029683614438498216,0.0029648292302455496
Total Market (without financials),23133,0.0019001638586821459,0.0018981908774169285
