Industry_Name,Number_of_firms,Beta_,D_E_Ratio,Effective_Tax_rate,Unlevered_beta,Cash_Firm_value,Unlevered_beta_corrected_for_cash,HiLo_Risk,Standard_deviation_of_equity,Standard_deviation_in_operating_income_last_10_years_,2020,2021_0,2022_0,2022_0,Average_2020_24
Construction Supplies,552,1.003058241605434,0.4224433837917308,0.14809310638667658,0.7610124349666657,0.15008829324497044,0.8954017563450419,0.28464204327684905,0.27799625591652655,0.371664163561049,0.94,0.92,0.95,0.9215737984479324,0.9253951109585948
Diversified,212,0.8885916584420943,1.1183840997014851,0.14707994448803524,0.4823976746053038,0.10026470408258158,0.5361551078347162,0.2386006987014406,0.259112968922331,0.2052802950972673,1,0.82,0.97,1.0170289011045945,0.8686368017878621
Drugs (Biotechnology),332,1.357110199734937,0.05896945861524862,0.04653246619546844,1.2994184810650513,0.07970115708714935,1.4119527489051749,0.38952702509439896,0.3893550934004017,0.7561907570174151,1.51,1.03,1.09,1.2401788982614341,1.2564263294333218
Drugs (Pharmaceutical),717,0.884814966445048,0.10400956060873681,0.13587157057550103,0.8205580515864859,0.08662096193538961,0.898376268110109,0.2954916069418599,0.3006607098453748,0.15855983129877413,1.02,0.83,0.88,0.9285517809688922,0.9113856098158003
Education,155,0.7938358904217057,0.3720404212395775,0.10428933141527268,0.6201313683735407,0.12349018119036305,0.7075007661816309,0.39072539538599343,0.36315468021171116,0.3304052388568416,0.58,0.61,0.6,0.6374214551776206,0.6269844442718504
Electrical Equipment,726,1.0799955932140095,0.17417491105061234,0.1250192669972813,0.9547882092156782,0.12094987695172728,1.0861590075259524,0.33304700152503713,0.32192011526050346,0.479139071604234,1.19,1.16,1.24,1.259264855363673,1.1870847725779252
Electronics (Consumer & Office),77,1.2646303008425706,0.38993813498758034,0.12226329429827258,0.9776171384712797,0.20881891846445103,1.2356427135162154,0.32847616302612664,0.3211381423546983,0.31880571378885264,1.38,1.23,1.27,1.0800643820744182,1.2391414191181267
Electronics (General),1024,1.3468947056245748,0.2236110369259986,0.10391056417161576,1.1528111648848622,0.1477002404788887,1.352588865603578,0.3165400228786805,0.31242497405614467,0.38054600836916225,1.2,0.95,1.01,1.1394180405083687,1.1304013812223892
Engineering/Construction,890,1.038775005312447,1.512508892741142,0.1315685144944519,0.4856885047175975,0.23221989444479035,0.6325880303532723,0.34520482641491657,0.3383084642912485,0.3042785495675569,0.81,0.74,0.84,0.7693513608849124,0.758387878247637
Entertainment,335,1.3002865512502566,0.15579506749376212,0.08976409722743997,1.1637776381252012,0.11746686241105767,1.3186786858843753,0.4066492147909672,0.3945954782504927,0.31053839375312775,1.04,0.86,0.93,0.8963245931845649,1.009000655813788
Environmental & Waste Services,203,1.035162830639863,0.6944344139188005,0.12377198152610325,0.6797582508978669,0.0835642952630358,0.7417413435380842,0.3335829645729255,0.30164983720797184,0.43011525726576244,0.8,0.82,0.94,1.0393064645303247,0.8682095616136817
Farming/Agriculture,297,0.7510085287835203,0.6697157786552351,0.14574225446701028,0.49926475550991595,0.08489097722794545,0.5455795354279643,0.29913395509266627,0.3110566098538647,0.29645607876348606,0.45,0.43,0.55,0.5922657789429788,0.5135690628741887
Financial Svcs. (Non-bank & Insurance),672,0.8035395020748405,1.454911631146008,0.15540358008717184,0.3834773142422456,0.07974747430567927,0.41670878757210267,0.34636457581206304,0.34618436666643426,0.26881689140168225,0.26,0.27,0.33,0.2491729799474152,0.3051763535039036
Food Processing,957,0.7892509597757396,0.37865612394853915,0.1550736383074173,0.6141599728982596,0.09151296782763256,0.6760250296910512,0.2935563339428864,0.2951380294659029,0.288924523541055,0.63,0.6,0.64,0.6759184649699519,0.6443886989322006
Food Wholesalers,103,0.6900076042865106,0.6592142321845287,0.14557833526427852,0.4611356525855155,0.09178039726793191,0.5077358506668944,0.36127253832259015,0.36788571260395597,0.3702387057975471,0.17,0.18,0.24,0.21929594189928503,0.2634063585132359
Furn/Home Furnishings,275,0.951978020183337,0.2046366885840191,0.1315675944282261,0.8248869011008289,0.18950876420314475,1.0177616544981145,0.2743725478112394,0.27788289439332303,0.3379832367495267,0.93,0.96,0.95,0.8205358710080523,0.9356595051012333
Green & Renewable Energy,137,0.8150136592533698,0.5620181513707201,0.12386254009475527,0.5726855223166394,0.03348782841342227,0.5925279982522597,0.3171021502782611,0.2919363985395121,0.350694641861831,0.6,0.72,0.68,0.682133882268362,0.6549323761041244
Healthcare Products,343,1.1045922069367287,0.04921231347428432,0.09665423801805686,1.0651271675144867,0.0977157835917074,1.1804785544785659,0.34495834287404553,0.3507028170970805,0.9659154650201648,1.14,0.89,0.89,1.0564128005709996,1.031378271009913
Healthcare Support Services,217,0.8689471421120708,0.4280157797022017,0.151778417362273,0.6571715769863452,0.16054936182826668,0.7828591070198249,0.3464487912746698,0.33561682640619056,0.384788180169844,0.63,0.52,0.56,0.5378938875665377,0.6061505989172725
Heathcare Information and Technology,129,1.3946994900950576,0.05279487881615365,0.05564731179018795,1.3413805982221727,0.0581494337189563,1.4241968378473229,0.38063115340882314,0.38532130626243416,0.989487957405827,1.03,0.82,0.85,1.1429011757965009,1.0534196027287648
Homebuilding,43,1.1443100601030378,0.7466191792975544,0.11393248226484234,0.7325320989279379,0.08165586499922377,0.7976662244674962,0.3594150721930945,0.40517957023115486,0.8910371316285707,1.08,1.12,1.32,1.2130427998566085,1.1061418048648208
Hospitals/Healthcare Facilities,147,0.75211641405722,0.1286718765852961,0.18762324229866928,0.6856888928660108,0.03414117318364556,0.7099266205664502,0.2721172541984629,0.27625042732452115,0.3629281709164847,0.37,0.35,0.37,0.24649235904482145,0.40928379592225433
Hotel/Gaming,412,0.8503720987603245,0.5429894704185887,0.1280345049799848,0.6036073075600975,0.09933563953907705,0.6701800737970759,0.3118955687959576,0.32003420174618935,1.1494298807105006,0.69,0.93,1.1,1.0156726914212217,0.8811705530436595
Household Products,309,0.9285528474912983,0.07039045544177101,0.14808634828362296,0.8818191034778986,0.07146350939770622,0.9496870746629548,0.31158555168611796,0.30541413055085687,0.18658572169199014,0.78,0.73,0.79,0.7903389955487747,0.8080052140423458
Information Services,39,1.1612365362330443,0.1654090890900237,0.1724283355479924,1.0326356974215762,0.056570409681112856,1.0945551295169114,0.39111529708881615,0.3626499799970387,0.25224494258151187,1.02,1.04,1.06,1.1607183037793078,1.0750546866592439
Insurance (General),135,0.5674116462541764,0.3513745708481006,0.14739924765223208,0.448706405177528,0.1926691539455454,0.5557899928764306,0.23864175610429397,0.2313588694310793,0.15927500486834292,0.79,0.92,0.96,0.8392499077373967,0.8130079801227655
Insurance (Life),82,0.8822064152025039,0.8244089607551341,0.12376470423761161,0.5443374915033251,0.16183048185862078,0.6494360385598136,0.24120790260739047,0.26220374181476147,0.4335516951918274,0.8,0.85,0.69,0.5916879175332567,0.716224791218614
Insurance (Prop/Cas.),144,0.6883716815381251,0.2511975990313897,0.18470213420482118,0.5788884376804604,0.07132222879446057,0.6233469300433359,0.2699549795478093,0.28540042127265985,0.12000575949901988,0.68,0.66,0.76,0.7897969072640388,0.702628767461475
Investments & Asset Management,481,0.8037376433391465,2.498696527189814,0.08458882381944922,0.27895269433236924,0.021446801032299137,0.28506645793672036,0.29590711059788843,0.3217572836011524,0.5354887115206314,0.91,0.83,0.91,1.155285355342713,0.8180703626558866
Machinery,911,1.055715166255772,0.1332345241510927,0.1226990171078094,0.9594686816983933,0.09987536067504878,1.0659286945171806,0.3068141725692184,0.3151119466989465,0.39952722955999787,1.23,1.01,1.09,1.1959330694665142,1.1183723527967389
Metals & Mining,331,1.2662659442107218,0.3500226346922362,0.12492819380201486,1.00216369863272,0.10941407447686755,1.1252858033255426,0.31902227159364666,0.3331053026240699,0.6073742779430776,1.05,0.98,1.16,1.1402385105334458,1.0911048627717976
Office Equipment & Services,71,0.8541754394749238,0.15647893012313657,0.17334381314501263,0.7641487885708933,0.12740603105387843,0.8757209146125509,0.3190127493192697,0.3264273706996392,0.3230790570977382,0.92,0.9,0.96,0.7308572038575613,0.8773156236940224
Oil/Gas (Integrated),16,0.9827185249436475,0.11625626880142803,0.2621690266179164,0.9036248351918331,0.04513142685411377,0.9463342501835339,0.24138281821934077,0.2564365280409755,0.668359386963828,0.97,0.89,1.03,0.8347292886105938,0.9342127077588256
Oil/Gas (Production and Exploration),103,1.3901920231800964,0.33885397532115097,0.17472957091818384,1.1076140331710185,0.12979242121655457,1.2728158891921724,0.35082552713535176,0.3471761128036734,0.6287369176413579,0.91,0.76,1.11,0.7114392831643487,0.9528510344713043
Oil/Gas Distribution,111,0.8741285882038234,0.5666346671470137,0.13509239812055318,0.6127273228527611,0.1169073958678651,0.6938426615574739,0.2795599664204342,0.2842744322131599,0.2639567330118128,0.74,0.55,0.51,0.586312049480911,0.616030942207677
Oilfield Svcs/Equip.,225,0.9090593357581237,0.44218504859844043,0.14379424797453036,0.6820053490118657,0.08676502825974886,0.7468016119797114,0.322682795989122,0.31325109772795695,0.5642685055800056,1.24,1.05,1.16,1.0547254159691497,1.050305405589772
Packaging & Container,320,0.8146403770992509,0.29386007733841446,0.14664411611405287,0.6670560573323612,0.09652549667375832,0.7383230571272573,0.30169844078248864,0.28927255440553223,0.21105040760970686,0.82,0.68,0.75,0.694473971926442,0.7365594058107399
Paper/Forest Products,188,0.9206461731146233,0.9147129777256402,0.11391151252617925,0.5451844862511563,0.09397016313083523,0.6017290646134468,0.3000672190368492,0.3002449780009456,0.4009249388714508,0.91,0.74,0.77,0.8111009695736112,0.7665660068374117
Power,321,0.7709712865827835,1.099343729977291,0.15859792177938567,0.42182689636018655,0.06353194260602642,0.4504445111924659,0.26341670424839564,0.25379323334492165,0.13765679005322182,0.57,0.58,0.59,0.5366516749209878,0.5454192372226906
Precious Metals,62,1.5221589161707436,0.3126294638138035,0.14320697446679903,1.23213949492186,0.08448220097465343,1.345838929875079,0.38609676214979366,0.3629423386090563,0.8242449772955143,0.99,0.87,1.05,1.1005716661082103,1.071282119196658
Publishing & Newspapers,170,0.9941975214278841,0.07268638371706923,0.10630169495276241,0.942612506875748,0.18800501587314966,1.1608600118255072,0.34524509444066837,0.3343249514512783,0.10262195040420763,0.62,0.73,0.79,0.6318236910831166,0.7865367405817248
R.E.I.T.,213,0.6672252658699039,0.7114559662292631,0.033768681392286,0.4344889837150047,0.029678092445469484,0.44777818611766956,0.1782995055960469,0.15315651499082827,0.2747128050452921,0.37,0.52,0.54,0.42587723144357803,0.46073108351224956
Real Estate (Development),773,1.0115246391177968,2.592447601106852,0.1470767305767661,0.3426743694094441,0.17307551318756484,0.41439620530570925,0.3396828183396776,0.32675662047770554,0.4904545994433551,0.54,0.56,0.57,0.5883162692025512,0.5345424949016521
Real Estate (General/Diversified),218,0.9802722928350287,1.0565978666399254,0.1332102065120937,0.5459568086467798,0.09579618485626043,0.6037983909191867,0.27319930510403306,0.2613369901157388,1.4043844922414728,0.44,0.48,0.49,0.4084625964648788,0.4844521974768131
Real Estate (Operations & Services),374,0.8603340577733581,0.7596329735798277,0.13301103126027555,0.5473114803479157,0.0871917820913924,0.5995908774812474,0.3101936852865145,0.2974539106540201,0.15404043901076936,0.32,0.36,0.41,0.3960985816126213,0.4171378918187737
Recreation,143,0.9319199836981663,0.21892493532676327,0.11524634447753014,0.8000490343840667,0.12052433430728364,0.9096886538115986,0.3145248369790368,0.29951284815021356,0.19789740088108293,0.67,0.82,0.98,0.8879422933554293,0.8535261894334056
Reinsurance,29,1.1648143892038665,0.41234316713376123,0.11045255064892912,0.8888638032966233,0.18159861086706644,1.0860976228771337,0.2821175726079139,0.24518224553347287,0.48894672629438285,0.94,1.42,1.45,1.041956862068099,1.1876108969890466
Restaurant/Dining,158,1.0228930805061585,0.1746080170257621,0.12495402987363129,0.9040451562388108,0.0542242959685183,0.9558769086425148,0.3462598611211481,0.3543725820745301,1.3940856986533576,0.66,0.99,1.19,0.9552393012029151,0.9502232419690859
Retail (Automotive),107,0.8610060634568429,0.7882650459295893,0.16211115083065308,0.540329025296552,0.10589997882462623,0.6043272704392083,0.33141889423184684,0.31089787871166086,0.31442374702565273,0.43,0.79,1.06,0.9195628745210699,0.7607780289920557
Retail (Building Supply),46,0.8431029530961207,0.3402794754183576,0.14518259787492593,0.6711553556895784,0.04231182015398885,0.700807809695944,0.32793965976618294,0.2971154156840334,0.17834289216653068,0.54,0.82,0.87,0.8577110654886608,0.757703775036921
Retail (Distributors),673,0.7420711227676089,1.0094802285231772,0.1363327298162338,0.42162229702396725,0.1521808504854837,0.49730216316227266,0.3667325185241739,0.35165817537320104,0.4312829036779397,0.61,0.7,0.79,0.7608985854799213,0.6716401497284388
Retail (General),146,1.0931672396192433,0.42283690535411,0.15362153963593564,0.8291910348276056,0.07756100162192556,0.8989115120735064,0.2686887076686476,0.2910438265615052,0.12668974942655822,0.38,0.35,0.4,0.3928101935354418,0.4843443411217896
Retail (Grocery and Food),86,0.731512444944752,0.3926476227815735,0.16281794991091011,0.5646022471166955,0.08612621961278046,0.6178120646786327,0.29551002809216914,0.283696512276218,0.12090286527580367,0.44,0.39,0.42,0.5531785871425986,0.4841981303642462
Retail (REITs),40,0.8115302759015302,0.6875201866307874,0.05644933600885269,0.5347338709021194,0.0208563758618847,0.5461240391294131,0.19858049127120356,0.1350712005548403,0.1900050722362334,1.23,1.12,1.25,1.4672850705706748,1.1226818219400176
Retail (Special Lines),251,1.0426086782874373,0.25419396952923845,0.14877791642278834,0.8751249544699063,0.09280192228764292,0.9646459532593719,0.33188760753330326,0.32878226281087863,0.1962029266392453,0.9,1.06,1.24,1.1652952867668969,1.0659882480052538
Rubber& Tires,72,1.0543620124238302,0.3549270295171722,0.1737009796783372,0.8320246034280482,0.10471428264040279,0.9293397485239455,0.25864011119508884,0.267982970766138,0.20033605149385403,0.93,0.87,0.9,0.8832579325121419,0.9025195362072175
Semiconductor,513,1.7199180587679659,0.1093412940828033,0.07643110811039339,1.5890985989594375,0.10117619291495994,1.767975643761613,0.321649377093567,0.32380271915068704,0.5795728017629479,1.81,1.16,1.27,1.4469208038395083,1.4909792895202243
Semiconductor Equip,277,1.9823021073090825,0.11319626472132446,0.11221952997572358,1.826626969503821,0.08829375830337513,2.0035257914924323,0.3411262473645979,0.33201055407825636,0.7820181502501872,2.08,1.37,1.5,1.8277145326771278,1.7562480648339123
Shipbuilding & Marine,240,0.9681414387319659,0.47955010587674707,0.13500319338052152,0.7113178129893365,0.22167500073581384,0.913908474816822,0.2872825144523121,0.29919076904362635,1.2841514740398938,0.9,0.83,0.93,0.9748601338267289,0.9097537217287102
Shoe,58,0.7458192949439786,0.2110089028068598,0.14164375255576367,0.6435753743458271,0.10175770688810325,0.7164830461458298,0.309768881301502,0.31336218587704195,0.24683977074615737,1.67,1.01,1.11,0.9688359022843687,1.0950637896860396
Software (Entertainment),66,1.7986075575311349,0.13365735671642398,0.10759826348255594,1.6341609242199693,0.059809253833916894,1.7381163672199105,0.45680620093683527,0.4082395077604536,0.4664031629729807,1.28,1.05,1.01,1.2643925029484495,1.268501774033672
Software (Internet),42,1.1344876359438159,0.17728769910505532,0.09555523667451672,1.000889056153465,0.07440690029779118,1.0813488740089798,0.38711492189644325,0.37147731667538714,0.4847758368356549,0.95,0.7,0.85,1.0384541483190144,0.9239606044655988
Software (System & Application),521,1.438936588940694,0.042678158518435136,0.08432282783418524,1.3941395591186365,0.08305217099215058,1.5204131740266131,0.4099839646355726,0.38892970241383346,0.36190837943891113,1.11,0.86,0.98,1.1213890742291763,1.1183604496511579
Telecom (Wireless),63,0.8944354885857089,0.3974797291187735,0.19046385160172005,0.6884178499801816,0.07799086544224823,0.746649706795352,0.21920428683366308,0.25038701177270106,0.13876231971525077,0.47,0.43,0.48,0.3031537052354213,0.48596068240615453
Telecom. Equipment,299,1.2900211353117848,0.13157484563360974,0.07871709685875462,1.1737466241118646,0.12064631144995978,1.3347833066433674,0.34900105283788785,0.3466045199348861,0.25636605153554115,1.3,0.98,1.06,0.9611502591339679,1.127186713155467
Telecom. Services,140,0.8168669639118279,0.4355448382338854,0.14132667574749358,0.6151469311452467,0.06706178966353618,0.6593651372939202,0.2829608152932156,0.26326849022810117,0.05129822531192735,0.42,0.37,0.39,0.44422768381409694,0.45671856422160345
Tobacco,31,0.4416217042427219,0.01324513287985813,0.22089551575229194,0.43726122141642515,0.024814044061802105,0.4483875293258801,0.26690744065625266,0.25062970194532397,0.2736608376077282,0.4,0.33,0.37,0.29390936570842574,0.36845937900686115
Transportation,296,0.9446866096582257,0.6181706002138659,0.15192108516968927,0.6446521774790702,0.1118903178049316,0.7258700027745851,0.2940588489247846,0.29033156450863157,0.17770528229845156,0.62,0.61,0.73,0.8506110440693417,0.7072962093687853
Transportation (Railroads),15,0.9263134080380773,0.3093683174993343,0.24221198488969312,0.7513146423743198,0.12044340291427588,0.8541970407176589,0.23096709985812583,0.24330392331949519,0.24519053305272906,0.5,0.54,1.01,0.8104845554883959,0.742936319241211
Trucking,55,1.07385005334996,1.265980544200438,0.13966132296066688,0.5498022892425922,0.04920123670236279,0.5782530546587202,0.386347839012003,0.38434835647702925,0.5000610436211886,0.43,0.39,0.55,0.44200070610271597,0.4780507521522872
Utility (General),14,0.6359848549914958,0.3349450787306141,0.14484214827745148,0.5079020419746503,0.03607137335354725,0.5269083497827659,0.34879019358945584,0.22898566289089733,0.272144222760096,0.41,0.43,0.49,0.4690687612271853,0.4651954222019903
Utility (Water),71,0.6568206943630701,1.040720039963748,0.16148337600125892,0.3682642509384171,0.07957046740268758,0.4001004290890485,0.23950278174287223,0.31499736561469277,0.22596150535288378,0.29,0.26,0.28,0.3466602008029708,0.31535212597840384
Total Market,25637,1.0206470969363863,0.6452393829346745,0.13020907935475973,0.6869340385683937,0.12879927584874284,0.7884911244049068,0.31746030397935443,0.31499736561469277,0.28104007456037255,0.7,0.67,0.79,0.7771884061702311,0.7451359061150276
Total Market (without financials),23133,1.0444082549381002,0.3796780321570425,0.12847384024909062,0.8122257381183005,0.10397897523122408,0.9064806691649905,0.3202457486091372,0.317085829191504,0.29141068683116284,0.85,0.78,0.87,0.8817115657835057,0.8576384469896992
